condition_size,model_hidden_size,model_n_blocks,model_act_norm,feature_network_hidden_size,feature_network_hidden_layers,feature_network_dropout,val_loss_upper_bound,configuration_name,val_loss_mean,val_loss_std
197,224,5,True,16,3,0.315,-33.561,197_224_5_True_16_3_0.315361345758959,-34.47478103637695,0.9142618721753116
2048,256,32,False,16,10,0.5,-17.74,2048_256_32_False_16_10_0.5,-19.44587008158366,1.7063441677658113
1178,256,24,True,673,13,0.298,-44.514,1178_256_24_True_673_13_0.29823797977910443,-46.88178634643555,2.367959518920851
1939,128,21,True,16,13,0.176,-40.792,1939_128_21_True_16_13_0.17594718584241129,-43.2578125,2.4659325026729704
1043,235,24,True,868,3,0.488,-37.138,1043_235_24_True_868_3_0.4883069099581695,-38.64616266886393,1.5079211473566645
1,121,4,True,1810,13,0.263,,1_121_4_True_1810_13_0.2633946926260543,,
861,216,27,True,571,13,0.293,-46.425,861_216_27_True_571_13_0.29331925668481074,-48.912776947021484,2.48752130817269
686,213,5,True,713,13,0.314,-28.393,686_213_5_True_713_13_0.31374479509040054,-29.33316993713379,0.9404829163198165
712,214,25,True,713,13,0.3,-46.077,712_214_25_True_713_13_0.29995763819123816,-49.8777707417806,3.8005529344911717
786,239,32,True,682,13,0.031,-32.475,786_239_32_True_682_13_0.03060492540963608,-34.01961135864258,1.5442729432544402
1389,228,26,True,267,13,0.262,-34.814,1389_228_26_True_267_13_0.26236451078071266,-39.770127614339195,4.955858650997322
1167,247,19,True,873,13,0.234,-44.453,1167_247_19_True_873_13_0.2335924058245786,-45.99160639444987,1.5381079416124415
254,186,32,True,16,3,0.474,-27.702,254_186_32_True_16_3_0.47412164005394225,-33.182408014933266,5.480693104678087
1248,234,8,True,639,3,0.5,-38.057,1248_234_8_True_639_3_0.5,-39.14595031738281,1.0885236852206905
1448,179,23,True,282,3,0.447,-50.835,1448_179_23_True_282_3_0.4471203863813682,-51.43395233154297,0.5994433136642701
1623,174,13,True,43,3,0.274,-49.431,1623_174_13_True_43_3_0.2735048454370493,-51.82697550455729,2.395719248290018
1403,178,19,True,220,3,0.397,-46.501,1403_178_19_True_220_3_0.39680343885627256,-49.55462519327799,3.0534441814732642
1718,181,29,True,16,3,0.242,-43.493,1718_181_29_True_16_3_0.24181226361766925,-45.80785242716471,2.3145916421947246
1785,162,1,True,99,3,0.289,189.308,1785_162_1_True_99_3_0.28915052386305307,185.47193908691406,3.8364284744251624
175,89,7,True,894,13,0.31,-22.794,175_89_7_True_894_13_0.30978186293107074,-29.65203094482422,6.858117603007333
1558,172,14,True,16,3,0.292,-48.434,1558_172_14_True_16_3_0.29163410236299747,-49.89190165201823,1.4582666091490513
287,244,10,True,16,3,0.289,-41.583,287_244_10_True_16_3_0.2893636987815947,-43.20491409301758,1.6222256641307107
1907,63,14,True,71,3,0.481,-49.236,1907_63_14_True_71_3_0.48107562742908005,-51.08135859171549,1.8454014628445423
1285,176,23,True,221,3,0.428,-45.26,1285_176_23_True_221_3_0.42803605589698046,-48.11661275227865,2.856741511118413
1525,182,23,True,327,3,0.458,-42.789,1525_182_23_True_327_3_0.45824393105941175,-46.263885498046875,3.4746748160048897
1440,201,14,True,16,3,0.5,-43.432,1440_201_14_True_16_3_0.5,-44.239549001057945,0.8080277653916991
1578,159,16,True,16,3,0.241,-46.392,1578_159_16_True_16_3_0.24126964318099794,-48.305319468180336,1.9130054982665585
1237,216,13,True,767,3,0.5,-36.413,1237_216_13_True_767_3_0.5,-38.18302790323893,1.7698223443862742
870,225,7,True,276,13,0.371,-36.076,870_225_7_True_276_13_0.3711299824037795,-36.98767852783203,0.9118636125686757
1402,157,14,True,88,3,0.371,-53.367,1402_157_14_True_88_3_0.37070178555757954,-54.004713694254555,0.6380821876605965
1277,136,14,True,121,3,0.383,-48.791,1277_136_14_True_121_3_0.3831290516883069,-50.905592600504555,2.114387191243372
1285,235,18,True,411,13,0.294,-43.877,1285_235_18_True_411_13_0.293636342190015,-47.91369501749674,4.036791052856628
1500,155,14,True,113,3,0.392,-51.149,1500_155_14_True_113_3_0.3915854300471067,-51.7294921875,0.5807550608021881
1448,162,14,True,91,3,0.369,-50.399,1448_162_14_True_91_3_0.369198701689334,-52.04213078816732,1.6435966137074014
1449,151,14,True,105,3,0.389,-50.151,1449_151_14_True_105_3_0.38925932202375385,-51.585259755452476,1.434005076829955
568,210,16,True,58,3,0.334,-50.206,568_210_16_True_58_3_0.33358122249294064,-52.866982777913414,2.6612352866552356
672,206,16,True,117,3,0.267,-49.634,672_206_16_True_117_3_0.2674089208711868,-51.30269241333008,1.6688995013276045
764,193,15,True,42,3,0.306,-50.145,764_193_15_True_42_3_0.3056928078696182,-51.46446990966797,1.3191615885302128
914,199,18,True,289,3,0.309,-42.672,914_199_18_True_289_3_0.30851409910166677,-46.06828053792318,3.3965700164181714
1793,117,17,True,16,13,0.201,-42.953,1793_117_17_True_16_13_0.2007534594761894,-44.4248415629069,1.4720613221326204
2048,256,31,False,203,11,0.36,-20.413,2048_256_31_False_203_11_0.36046273895763153,-23.88209406534831,3.4686325859148064
2048,256,32,False,2048,9,0.0,,2048_256_32_False_2048_9_0.0,,
1588,161,23,True,31,3,0.378,-53.291,1588_161_23_True_31_3_0.3779247177629724,-53.720357259114586,0.4293029371546794
1667,157,23,True,16,3,0.389,-46.539,1667_157_23_True_16_3_0.3886034390791541,-48.64570999145508,2.106668767015841
1419,185,23,True,16,3,0.296,-41.976,1419_185_23_True_16_3_0.2955871293071425,-45.16916275024414,3.19275379133303
1493,127,25,True,144,3,0.407,-48.287,1493_127_25_True_144_3_0.4071232380674507,-51.542345682779946,3.255253507373701
